,From,To,Duration(s),Distance(m),StartLocation,Destination
0,0,1,1115.2,15890.1,StoreA,StoreB
25,2,1,864.8,10006.7,StoreC,StoreB
37,3,1,911.5,10693.3,StoreD,StoreB
49,4,1,1101.5,12954.6,StoreE,StoreB
61,5,1,1554.4,18344.0,StoreF,StoreB
73,6,1,1327.0,17133.5,StoreG,StoreB
85,7,1,1450.4,18606.1,StoreH,StoreB
97,8,1,2361.4,31686.8,StoreI,StoreB
109,9,1,2093.2,28962.2,StoreJ,StoreB
121,10,1,1677.3,20530.1,StoreK,StoreB
133,11,1,1470.7,17146.6,StoreL,StoreB
145,12,1,1249.7,14679.2,StoreM,StoreB
1,0,2,793.1,8841.5,StoreA,StoreC
13,1,2,945.9,10831.4,StoreB,StoreC
38,3,2,293.7,2733.8,StoreD,StoreC
50,4,2,389.2,3849.6,StoreE,StoreC
62,5,2,842.1,9239.1,StoreF,StoreC
74,6,2,617.0,7903.6,StoreG,StoreC
86,7,2,740.4,9376.2,StoreH,StoreC
98,8,2,1651.4,22456.9,StoreI,StoreC
110,9,2,1526.5,17848.7,StoreJ,StoreC
122,10,2,1477.4,19069.3,StoreK,StoreC
134,11,2,758.4,8041.7,StoreL,StoreC
146,12,2,537.4,5574.3,StoreM,StoreC
2,0,3,824.4,10470.4,StoreA,StoreD
14,1,3,917.3,10533.7,StoreB,StoreD
26,2,3,318.7,2731.5,StoreC,StoreD
51,4,3,419.1,4995.1,StoreE,StoreD
63,5,3,822.0,9543.5,StoreF,StoreD
75,6,3,623.2,8965.7,StoreG,StoreD
87,7,3,746.6,10438.3,StoreH,StoreD
99,8,3,1657.6,23519.0,StoreI,StoreD
111,9,3,1446.3,16563.7,StoreJ,StoreD
123,10,3,1356.7,16084.2,StoreK,StoreD
135,11,3,672.6,7471.7,StoreL,StoreD
147,12,3,471.1,5190.5,StoreM,StoreD
3,0,4,561.0,6634.9,StoreA,StoreE
15,1,4,1236.6,14534.4,StoreB,StoreE
27,2,4,518.9,4897.6,StoreC,StoreE
39,3,4,537.2,6086.5,StoreD,StoreE
64,5,4,576.1,6364.0,StoreF,StoreE
76,6,4,406.3,4358.9,StoreG,StoreE
88,7,4,550.8,7038.6,StoreH,StoreE
100,8,4,1445.5,20097.2,StoreI,StoreE
